"","FLF-a","FLF-b","FLF-c","iL3a-a","iL3a-b","iL3a-c","iL3-a","iL3-b","iL3-c","pfL1-a","pfL1-b","pfL1-c","ppL1-a","ppL1-b","ppL1-c","ppL3-a","ppL3-b","ppL3-c","PF-a","PF-b","PF-c","FLM-a","FLM-b","FLM-c"
"SSTP_0000389500",4.71574716893633,4.51673834318834,4.63568642370819,3.32820963132293,3.31962960891645,3.25102972873872,1.195515860982,2.38807732021652,2.50467526389962,2.37920957236998,2.6351439652665,2.44562236183417,3.108521002816,3.04844885454415,3.07164744651409,3.39204484224509,3.32819195598009,3.42900004991731,4.16430735987318,4.52230615413314,4.56395311778914,3.76615803724622,4.31239237252168,4.09946647381246
"SSTP_0000389600",2.78169071000658,2.77374388638512,2.83465511339742,5.29993930551735,5.36460351208465,5.19873213752419,5.8154422988114,6.43416824089304,6.46313245257374,5.25761099732793,4.99851086125375,5.17372508479838,4.58588076312554,4.6626687561848,4.66089340701635,3.73919808818302,4.14798512026606,3.6008529161134,2.16377052120105,2.3515618183646,2.41943779738201,3.88200169018651,4.17186989347838,3.59510320895654
"SSTP_0000389700",3.28695968919124,3.3249439415865,3.288852601072,5.9957650472104,5.91053103265144,6.00092308341742,5.83338615320381,5.69766906378637,5.65183626381422,4.34569008037632,4.14732804031568,4.14729303841459,3.7520683786511,3.82409456477968,3.70095764475037,3.32905469037733,3.40380006888261,3.5009033272325,3.66222810317152,3.97744139027993,4.15407030775314,2.6588610793174,2.66966308851501,2.48977088769803
"SSTP_0000389800",-5.23476700433553,-3.67906393191707,-5.28000025969709,2.00771023405746,1.43814093495792,1.78100681711032,1.74026548337421,0.828132543116305,1.3272452008415,-5.1741846270691,-4.06423733418789,-6.66034967362898,-6.29442929041625,-5.2423178883099,-3.65557611488195,-3.80346991445005,-2.95989717863455,-2.54769722715037,-0.912315555248335,-0.769529373737689,-1.78608428122088,-6.08990463240377,-4.30269881020725,-6.01695355597791
"SSTP_0000389900",3.74218187185888,3.96862398925687,3.58774436568501,2.5129480794067,2.35160063722063,2.60087923966512,1.77897026738714,1.40066055029713,0.81097725353966,3.07694136379088,2.93408266760744,2.82248554453753,2.05727984769778,2.81841482725835,2.9436324628179,4.10032111316984,3.68209248742936,3.74685718225846,3.64095394845209,3.71287361866578,3.58060456665613,2.42212661405878,1.86578272028645,2.09963270491167
"SSTP_0000390000",-0.36647927306407,-0.506740938460911,0.0614033900554417,1.07785695256994,1.22257890722117,1.07820627283462,1.11698514264621,2.10659656713271,1.84327916380956,-0.249052905334153,-0.0674342138116796,-0.824574190954543,-1.4405884710167,-0.493486378727486,-1.1136819572712,2.22121525111007,0.888420396807512,2.47955912389939,2.4699506487212,2.7449985786254,2.36739967843908,6.96514972415127,7.80848089651787,7.40721567327196
"SSTP_0000390100",-2.7241770245299,-2.75961232396444,-2.3354855545307,-5.65523958332423,-5.50367483441429,-3.45323553096738,-2.84277444486166,-3.36834392711617,-3.06912651811592,-3.58733374489075,-3.40436360428007,-3.48871524285902,-4.71131306042135,-4.02434418909359,-5.25213580057599,0.100369662279798,-0.750964661942122,-0.0198217935328518,-2.01610868661694,-2.40464575255996,-3.09241122401451,5.50952076884068,6.58367950679786,6.22316228434286
"SSTP_0000390200",-5.24208720914015,-5.25303419056234,-4.54457936193236,-4.92295351269507,-7.09067527806723,-3.97443437915784,-2.85999937948428,-2.11208447636409,-1.63350823494955,-2.85722980943603,-6.86549965944171,-4.35303746590644,-4.69563167809514,-3.6454409061408,-5.22049254375581,-3.80099656662864,-3.23911690280609,-3.80613348595004,-4.82291037055267,-3.33387450355972,-6.54968923285933,0.803081387881325,2.0236672986755,0.65139098280003
"SSTP_0000390300",5.99645099265636,6.05556765509561,6.05891341242635,-0.0204135889845812,0.491553444593766,0.683884971456764,0.775875591201824,0.268668443629483,-0.385863505181895,0.161995598478383,0.149279752247237,-0.0575861256062556,2.3124075479927,2.48637576120532,2.12709471716357,5.07652342724714,4.67558544957731,5.04092382650917,5.74997818976129,6.11556675351511,6.16014662012712,6.12692315018145,6.34997646445769,6.33370135402992
"SSTP_0000390400",-2.74822763661177,-2.92608408226087,-3.69638620404145,-3.33992261890875,-3.41886638984129,-3.05646287738711,-3.9965906939027,-3.8756631389012,-5.87578196192099,-4.4425280507681,-6.86549965944171,-6.66034967362898,-6.29442929041625,-4.49518750076841,-5.2173224435504,-2.70021324316236,-2.70797056490193,-2.90895546504101,8.11890210666109,8.35251158487857,8.18039892504523,2.10453842878101,2.30106990448022,2.27366911960184
