"","FLF-a","FLF-b","FLF-c","PF-a","PF-b","PF-c"
"SVE_0012900",5.47859178005075,5.11035608170165,4.94305073016747,5.27751645270169,5.56095995254072,5.60798027748549
"SVE_0013000",0.802041161507034,0.298366272792395,0.374682315430559,0.0690875188004668,0.437731708853379,0.464344163031799
"SVE_0013100",4.87871099884002,5.03667853426917,3.95876490722856,5.03609240807042,5.38332014584397,5.43957135644992
"SVE_0013200",2.38079866333686,2.11090801140181,2.85711547099982,3.93056298533032,3.58663190651774,3.77278201414472
"SVE_0013400",3.39129611752755,3.22722878848969,3.29833363959551,2.78212038927451,2.96564915842717,2.76186095996553
"SVE_0013500",0.198063185110759,-0.018790427115421,0.0425306795560496,-0.548584110777836,-0.928566422604625,-1.14525987508794
"SVE_0013600",4.52595930173208,5.201705675487,4.28778190226174,1.32132805524501,0.724534511126939,0.920338151204192
"SVE_0013700",3.63356528731543,3.67918625075738,4.61527782680051,2.34635083115626,2.27006891640573,2.43013016008693
"SVE_0013800",4.73276996799077,4.89660779148982,4.36990120908109,4.71036449211101,4.66132813934544,4.7529091941847
"SVE_0013900",3.74979292435276,4.0669015680341,4.12908683018979,3.85846274644681,3.85980956194815,3.99571225189358
"SVE_0014000",-1.01551004827394,0.216607181836223,0.589379891880586,-3.94565398314224,-2.00415097559043,-0.645912280818916
"SVE_0014100",5.16736350995108,5.53740584416116,4.91600353135906,3.91856120566055,3.8872046825819,3.8098595928281
"SVE_0014200",1.31127672844151,1.16701308534473,1.40096240758183,-0.0191971284018227,0.4133955514483,-0.627010138005519
"SVE_0014300",3.06032475646886,3.26417747872741,2.38996876978807,3.19266854884843,3.18263226544942,3.39168581979381
"SVE_0014400",5.06687199248223,5.6362274267761,4.67848231776307,5.65577728949157,5.68224097395666,5.74614511907877
"SVE_0014500",5.18571763834793,4.97698697937348,5.66410959773116,4.67562221102574,5.03111253197399,4.6232811174029
